,Date,Petrol (USD),Year,Month,Day
0,2003-06-09,74.59,2003,6,9
1,2003-06-16,74.47,2003,6,16
2,2003-06-23,74.42,2003,6,23
3,2003-06-30,74.35,2003,6,30
4,2003-07-07,74.28,2003,7,7
5,2003-07-14,74.21,2003,7,14
6,2003-07-21,75.07,2003,7,21
7,2003-07-28,75.1,2003,7,28
8,2003-08-04,75.12,2003,8,4
9,2003-08-11,75.44,2003,8,11
10,2003-08-18,75.81,2003,8,18
11,2003-08-26,76.05,2003,8,26
12,2003-09-01,76.13,2003,9,1
13,2003-09-08,76.23,2003,9,8
14,2003-09-15,76.2,2003,9,15
15,2003-09-22,76.15,2003,9,22
16,2003-09-29,76.08,2003,9,29
17,2003-10-06,76.43,2003,10,6
18,2003-10-13,75.9,2003,10,13
19,2003-10-20,76.05,2003,10,20
20,2003-10-27,76.0,2003,10,27
21,2003-11-03,76.0,2003,11,3
22,2003-11-10,75.94,2003,11,10
23,2003-11-17,75.93,2003,11,17
24,2003-11-24,76.02,2003,11,24
25,2003-12-01,76.0,2003,12,1
26,2003-12-08,75.97,2003,12,8
27,2003-12-15,75.96,2003,12,15
28,2003-12-22,75.92,2003,12,22
29,2003-12-29,75.94,2003,12,29
30,2004-01-05,75.88,2004,1,5
31,2004-01-12,75.9,2004,1,12
32,2004-01-19,76.36,2004,1,19
33,2004-01-26,76.44,2004,1,26
34,2004-02-02,76.48,2004,2,2
35,2004-02-09,76.5,2004,2,9
36,2004-02-16,76.44,2004,2,16
37,2004-02-23,76.38,2004,2,23
38,2004-03-01,76.32,2004,3,1
39,2004-03-08,76.73,2004,3,8
40,2004-03-15,77.39,2004,3,15
41,2004-03-22,77.44,2004,3,22
42,2004-03-29,77.59,2004,3,29
43,2004-04-05,77.86,2004,4,5
44,2004-04-12,77.88,2004,4,12
45,2004-04-19,78.04,2004,4,19
46,2004-04-26,78.4,2004,4,26
47,2004-05-04,79.28,2004,5,4
48,2004-05-10,80.3,2004,5,10
49,2004-05-17,81.49,2004,5,17
50,2004-05-24,82.13,2004,5,24
51,2004-05-31,82.35,2004,5,31
52,2004-06-07,82.44,2004,6,7
53,2004-06-14,81.54,2004,6,14
54,2004-06-21,81.04,2004,6,21
55,2004-06-28,80.41,2004,6,28
56,2004-07-05,79.87,2004,7,5
57,2004-07-12,80.34,2004,7,12
58,2004-07-19,80.84,2004,7,19
59,2004-07-26,80.87,2004,7,26
60,2004-08-02,80.86,2004,8,2
61,2004-08-09,81.18,2004,8,9
62,2004-08-16,81.25,2004,8,16
63,2004-08-23,81.51,2004,8,23
64,2004-08-31,81.53,2004,8,31
65,2004-09-06,81.37,2004,9,6
66,2004-09-13,81.31,2004,9,13
67,2004-09-20,81.28,2004,9,20
68,2004-09-27,81.63,2004,9,27
69,2004-10-04,82.05,2004,10,4
70,2004-10-11,83.11,2004,10,11
71,2004-10-18,83.35,2004,10,18
72,2004-10-25,83.94,2004,10,25
73,2004-11-01,84.27,2004,11,1
74,2004-11-08,84.34,2004,11,8
75,2004-11-15,84.26,2004,11,15
76,2004-11-22,81.46,2004,11,22
77,2004-11-29,84.17,2004,11,29
78,2004-12-06,84.06,2004,12,6
79,2004-12-20,81.46,2004,12,20
80,2004-12-20,81.46,2004,12,20
81,2004-12-27,81.2,2004,12,27
82,2005-01-03,81.17,2005,1,3
83,2005-01-10,79.84,2005,1,10
84,2005-01-17,78.93,2005,1,17
85,2005-01-24,78.93,2005,1,24
86,2005-01-31,79.54,2005,1,31
87,2005-02-07,79.84,2005,2,7
88,2005-02-14,80.03,2005,2,14
89,2005-02-21,80.15,2005,2,21
90,2005-02-28,80.45,2005,2,28
91,2005-03-07,81.16,2005,3,7
92,2005-03-14,81.64,2005,3,14
93,2005-03-21,82.7,2005,3,21
94,2005-03-28,83.4,2005,3,28
95,2005-04-04,83.91,2005,4,4
96,2005-04-11,85.61,2005,4,11
97,2005-04-18,85.63,2005,4,18
98,2005-04-25,85.51,2005,4,25
99,2005-05-02,85.44,2005,5,2
100,2005-05-09,85.36,2005,5,9
101,2005-05-16,85.27,2005,5,16
102,2005-05-23,84.77,2005,5,23
103,2005-05-30,84.18,2005,5,30
104,2005-06-06,84.01,2005,6,6
105,2005-06-13,84.99,2005,6,13
106,2005-06-20,85.52,2005,6,20
107,2005-06-27,86.73,2005,6,27
108,2005-07-04,87.49,2005,7,4
109,2005-07-11,87.73,2005,7,11
110,2005-07-18,88.55,2005,7,18
111,2005-07-25,89.0,2005,7,25
112,2005-08-01,89.25,2005,8,1
113,2005-08-08,89.67,2005,8,8
114,2005-08-15,90.56,2005,8,15
115,2005-08-22,90.77,2005,8,22
116,2005-08-29,91.42,2005,8,29
117,2005-09-05,94.37,2005,9,5
118,2005-09-12,95.07,2005,9,12
119,2005-09-19,94.41,2005,9,19
120,2005-09-26,93.33,2005,9,26
121,2005-10-03,93.51,2005,10,3
122,2005-10-10,94.25,2005,10,10
123,2005-10-17,94.14,2005,10,17
124,2005-10-24,93.47,2005,10,24
